,comment
953,"If someone can help me clarify this problem, i'd really appreciate it. This is for one example, right? One example, the image, with 784 features."
954,Thanks for all the hard work to simplify things for us. Your content is sexy.
955,This video help me to understand Newral networks
956,"Just one word,


Marvelous!"
957,"You know!
I Believe that this deep learning thing and machine learning prove the ability of how some blind interactions may give a meaning, like natural selection, and Darwin theory may be right..."
958,more like shallow learning
959,i think that b in matrix form should end at bk rather than bn. Correct me if i am wrong. Thank you!
960,at 14:46 will not the biases range from b0 to bk? Or I thought I understood but got confused again :(
961,"10:00 the weights of the red pixel shouldn't matter as the activation they are multiplied to are 0, the sum would be same in both the cases. Plz help *HERE*


Edit : Understood, so silly😂"
962,"Just amazing explanation, wow !!!!!"
963,me watching this: *Visible confusion*
964,"thanks, also make a video to train a model from scratch"
965,"There’s a huge demand for understanding variants like ResNet, VG16 et al in the way you explain things with great visual representation. 🙏 please consider making a series on variants of neural nets. I guarantee you it’ll be a massive hit."
966,amazing content man.
967,I wonder how many knobs and dials in my real neutrons get tweaked how fast to watch this video. Fantastic. Two thumbs up.
968,So neural nets are divide and conquer in disguise
969,"All other channels are childish when compared to 3Blue One brown , please make a playlist on Probability I don't think anybody else can do that better than 3blue1brown"
970,"Just a query. In 14:50 of the video, the bias vector is b_0 to b_n. I guess it was meant to be b_0 to b_k. Wasn't it?"
971,Best Youtube Channel for me!
972,Who now feels sorry for there computers after trying to run a network.
973,"I really like your contents. Such a nice approach to explain the complex topics in easier ways with these visual effects . It would be great if you would be interested to start another thread with the translated versions of your tutorials . Like in my country Bangladesh , there are many students for whom the Bengali contents would be more helpful ."
974,"Wait, so I just stumbled on how the app that has save my ass so many times, photomath, works. Lol."
975,"CONGRATS, excellent video. Thanks for your work! A question: 13:58 (time) if n is 784 and you start numbering at Zero, should't it be until N-1? Same with K, if K is 16, it should go from 0 to k-1..... hope the question is understandable :D"
976,"I think you meant to say ""smash that bell, fam."""
977,Thaaank yoou for you teacher enta
978,"Like,subscribe and share"
979,Lisha Li's voice is killing me..
980,"When a neural network educates, where does it store the results of its education? In a file named , i.e. *weights.txt, or it must be stored in the program code manually by a programmer each time when he sees the program doesn't recognize numbers correctly?"
981,"Ah yes, the sigmoid squishification function."
982,"Peoplde who fear machines. do not understand  them. Deep learning should be called Deep Sorting. We do have Deep Understand yet. Ben Goertzel was working on it though. Then Hong Kong had to protest and China had to round up all the foreigners in Hong Kong...i do not know what happened to him. Ben Goertzel  was also into brain uploading. Peace 3 Blue 1 Brown. Thanks for this video.  it is very informative. people need to stop imagining that AIs have a human imagination. humans have 86 billion neurons, Glial cell, and Astrocytes, and Endothelial cells and and mini-Glial cells and more fun to study where those came from, billions of years of evolution.. Just think with in the average male brain and their 86 billion brain cells, each brain cell  has a different role and 100s of neurotransmitters that double as hormones depending where in the body and which compartment of the brain it is in.. 100 billion is just a super rough number. Fun Fact: the Frontal Cortexx is not fully developed until age 24 or 25.   So do not trust those whippersnapper grasshoppers. i think an AI would have to be developed to populate artificial neurons, to make an artificial human brain to develop deep understanding, which is the next step forward, in our natural progression from AIs to AGI and ASI. Think about the future and it works.-the artiste formerly known as Prince"
983,How does changing the squishing function changes the neural network?
984,"In 20's : Richard Feynman
In 21's :  Grant Sanderson aka. 3blue1brown"
985,@3Blue1Brown does this make you really happy? I feel like this makes you really happy.
986,how to knw which model will fit me ? i have a dataset but not sure which model i need to use :(
987,"15:04 Oh yeah baby, I can't wait to put my raw data in that tight little expression. Is there any 3d videos where we can see all the layers take input until a satisfying output? I'm training a neural net to recognize polite tweets, and say ""You're very nice, thank for for tweeting."" Gonna be lit."
988,ur an absolute god
989,Simply Awesome....
990,"Great squishification, man."
991,"At 14:42 shouldn’t the subscript for the bias be k not n?

edit: this is for clarification not criticism"
992,Sponsored by Brilliant? I was amazed by this program when I saw it on brilliant.
993,"Great video, Thank you!"
994,Michael Stevens from Vsauce created a brain that can see in mindfield out of people
995,Im surprised nobody  said carykh yet
996,I don't know why his voice inspires me so much..
997,"Thank you, so outstanding. Worth my subscription"
998,Fuckin Amazing explanation.
999,"pleaseee make a video on support vector machines,,pleasee!!"
1000,"Cara. Isso foi incrível. O vídeo foi altamente motivante. Eu estou estudando bastante Inteligência Artificial, e estou adorando. Muito bom o vídeo. Continuem fazendo mais vídeos sobre este assunto. // Guy. That was incredible. The video was highly motivating. I'm studying Artificial Intelligence a lot, and I'm loving it. Very good video. Keep making more videos on this subject."
1001,"Thank you very much, I understand !"
1002,"Hi, first I will like to thank you for such a good video. it really motivated me to learn and start creating my own deep learning programs. 

I just have a simple question. on the video,  Lisa mentioned that now they are using ReLU neurons that will be activated or deactivated when they pass certain value, so their value are 0 or 1, right ? if that is the case what distinguishes ReLU from perceptrons neurons ?"
1003,Very good explaination!
1004,thank you
1005,"When you were explaining the ""mind"" of the computer and said it worked but you weren't sure why, that was a very interesting thought to me. There's a lot in this world of technology and innovation that really makes me think humans have taken on a lot more than they can imagine and there's so much to learn that, in my opinion, I don't understand how someone could be bored to death of learning. There are just so many fascinating things in this world and so many places technology can be applied and I think that's why engineers and computer scientists are in such demand. We want to learn more about the digital world in a way that past generations thought to be impossible. Mankind has come so much further than we are given credit for imo."
1006,This is beyond fascinating to me. I plan on watching all your other ML/AI videos. Very well put together video!
1007,This is the best video so far on NN. Massive respect.
1008,"There's a mistake at 14:55. The dimension of the bias vector should be k, not n."
1009,this was such a fascinating and well-made video!! :-')
1010,Which software do you use to create these animations?
1011,this video really makes me want to learn machine learning and AI
1012,Thanks :)
1013,He explains in a such a way that makes you believe that math is a living breathing thing
1014,it’s wonderful！
1015,"Excellent video as always (I donated), but to confirm for the example here, for this neural network (regardless of layers and the ""function of layers"" as explained in following videos), shouldn't the numbers be first scaled for size and centered in the square to have an algorithm that works? Thanks in advance!"
1016,"13:16  One thing.  From the start, you're taking an image and turning it into a flat (1D) array of greyscale pixel values.  Would  an arrangement of the ""wires""/weights in a  3D view of the neural network (with a 2D input) show any patterns that might hint at whether it is doing what you think it's doing?"
1017,"It´s a mistake .    In this example, ""k""  would be ""15"".   And  ""n"" would be   ""783"""
1018,There is a mistake at 14:37.  You must add a column vector that begins in b_0 BUT ENDS IN b_k   !!!!
1019,"Very neatly explained, with visual aid thanks to contributors like you, our learning standards have change drastically , thank you on behalf of all the learners......"
1020,Nvidia made PAC Man using this
1021,quick maffs
1022,I work in a company developing just this kind of stuff. I’m still baffled how incredibly intelligent people are and I have no idea how they can repeatedly accept me as worthy enough to be with them.
1023,When you're red-green colorblind... and you have no idea what is going on at 9:30 lmfao
1024,"Thankyou and thankyou. I'm korean , and I don't like mathematics. But I moved after I see it. You teach math is the best subject to me, I have that I can funny math again."
1025,"This is the first time I'm commenting to a YouTube video and honestly, I'm so thankful people like you exist! I wish only the best for you in whatever you do!"
1026,Best tutorial I've seen on YouTube. Thank you very much.
1027,Do more hidden layers mean that the algorithm will do a better job at predicting the number?
1028,Thks for your great work.
1029,Coming here after listening to the famous Machine learning lecture on Coursera I felt I can understand things way better here even on listening at 1.5x
1030,왜 영어로 줘? 누가 해석좀 ㅎㅎ....;;
1031,I love your way. Word are not enough to describe how you converts mountains to atoms. Love you and your work.
1032,Best breakdown! Thank you!
1033,"If Relu gives a for input a > 0, then it is not guaranteed that output would be between 0 and 1, so by this means, next neuron would take value that is not necessarily between 0 and 1. Is'nt that wrong or I am missing something??"
1034,I am intested with deep learning. We can share informations and codes. Yoy can follow me
1035,Anyone else coming from CGP Grey's vid?
1036,"Fantastic introduction to neural nets!! Thank you!! Very well structured, simplified and made intuitive. Excellent narration and animations."
1037,I wonder what the neural network of Apple's face ID look like.
1038,I finally get the basic idea of deep learning...
1039,"Are the values for a1, a2, ... , an from the initial layer value between 0 and 1 of each pixel? And then the weights and biases are chosen to detect a specific pattern and the weights and biases is what we are trying to optimize?"
1040,This professor is  {insert your word(s)}  AF
1041,"9:41
 what if write that 7 such that the horizontal line is above or below that edge"
1042,Can you please make videos about Recurrent neural networks ??
1043,"I discoverd your videos when I was dooing research on my ML seminar in the context of drug discovery. I usually don't write comments but I felt like I had to appreciate what you have done with all your videos. Good to see that not all youtube content is like fast food and only made for a short laugh. You instead are able to break down complex topics and helped me understand basics in ML, even though  my prior knowledge was rather limited as a biochemistry student."
1044,One video for that formula : a(1)=sigma(W a(0) + b) a lot of bla bla bla. We dont have time to waste how do you calculate the parameters   w(weights) and b (biais). I dont want 10 video for that hurry up
1045,With the ReLU Funktion the output ist not squished into the range between zero and one. Is there any other Funktion doing this afterwards or could the output then be a number higher than one?
1046,"wenn du ein englisches Video machst, mach den Titel auch Englisch!  
pack bei einem deutschen Titel bitte auch eine deutsche Tonspur dazu, denn ich kann leider kein Englisch. :("
1047,"3B1B,


I (and maybe many other people) edited Korean subtitle, and now Korean subtitle is completed. (As you can see, Korean subtitle in this video is not completed, almost nearly half of the video has no Korean subtitle.) I think I worked on Korean subtitle before more than 5 months, but it is not applied. Can you please apply 'completed' Korean subtitle for this video? Thanks in advance."
1048,"Would you add Arabic to caption, please?"
1049,Soinn is better than Deep Learning.
1050,"I believe in the equation that  mapping the previous layer to the current layer, the column b should be b_k instead of b_n. According to your video, the size of the weight matrix is kxn, the size of the a matrix is nx1, so it should result in a kx1 matrix. Therefore, the column b should be b_k representing the size of matrix b is kx1. This is the confusion I encountered when I watch the video. I hope this will help others."
1051,I understood literally everything! Tears of joy (T_T)
1052,How I can give 2 likes simultaneously???
1053,A quantum computer might facilitate this by applying all variables into a single neuron. That would optimise the process considerably.
1054,This channel is so great and visual it really gives me hope for the next 3 years of my CS degree. Thanks so much.
1055,"I have built a 1 hidden layer normal neural network(not convolutional) with 25 hidden units and got 96% accuracy on the test set. But if I implement the one that Grant shows here (2 hidden layers each with 16 units) my accuracy goes down a lot. I have also tried different number of hidden units as well as number of layers, but my first one-hidden-layer implementation works best. Can anyone tell why that is the case?"
1056,OMG I can't believe I understand more of fmachine learning in 20 minutes than thousands of hours of other online resources. Thank you very much
1057,"This is fine and fun, but my imaginations confident, open minded, innocent , intelligent, and adventurous artistry is ultimately in control of a lot of the infinite engagements complements"
1058,"If only everything can be taught in this fashion... Loved it.. one small query though, isn't a(0) the first term itself bias?"
1059,I wonder how our brains perform 13000 calculations in a split second without any maths / algebra / calculus .... Amazing.
1060,your videos have changed the structure of my brain
1061,Awesome 😁
1062,back propagation I think accelerated the precision of this procedure
1063,How to run the code that is in description?
1064,"watching this for a second time and i can't believe how illuminating is to come back to the basics and get a renewed understanding -- grant, you're a treasure"
1065,"I don't understand one single mathematic formula, but the way you explain and animate it is fantastic, I will definitely learn and apply this !"
1066,"I must have some cognitive problems, i didnt see any trees in the intro??"
1067,"This is so well presented and explained, the graphics are really top notch. I found myself understanding 80% of this in one viewing. I love logic."
1068,"not as a buzzword but a piece of math, ouch"
1069,Thanks for the crystal clear explanation!
1070,"the music, the visuals, the bite sized explanations and structure!!!!!!!"
1071,The neural network kind of reminds me of the tree of life from Kabbalah.
1072,11분경부터 한국어 자막 날아감
1073,"I believe you are indeed racist sir. You spoke negatively about your black coworker and it’s all in the open. You’re in hot water, buddy"
1074,"🔴 make more video on IA, it's wonderful to learn it with you"
1075,Instructions unclear. Cat stuck in oven
1076,"Wht do you need so many layers to identify the number from the number image?
Just divide the image numbers to half or more sections then you have distinguishable shape to match the number?
For example, 0 divide exactly half then you have loop, no other number has the same loop although 9 seem similar
then you have much less pixels to match number 0. That is a lot less work for the computers to neuro network."
1077,Is the weight just random numbers?
1078,This is the best explanation!
1079,I think you can observe how youtube algorithm works and do something that everyone get notified when something new is uploaded.
1080,"this video is the best brief introduction to neural networks, amazing work"
1081,"I am studying Advanced Degree in Data Science. Surely going to recommend this channel to all my friends and teachers. 
The animation used combine that with imagination, is just too good. Please upload more and more videos like this explaining concepts and algorithms.!!!
SUBSCRIBED"
1082,THIS TOTALLY ROCKS!!!! THANKS!!!!!!!!!!!!!!
1083,"""I obsess over math because I have no soul, no heart and no idea how to connect to my fellow man on any meaningful level."""
1084,I se futures and your video makes me craZy ?  Why?
1085,Why so much calculus with so little info?
1086,This video is absolutely amazing.
1087,This is incredibly beatifully animated and explained so well. Thank you
1088,one word.. LEGEND !!!
1089,excellent
1090,"Teacher: What is a computer
Me: My laptop"
1091,thats quiet smart! Its got a lot of untapped & unrecognized potential that can actually be used in future computing; perhaps goes farther than just recognizing digits & one day it could also be used for speech detection and conversations between a human & a machine!
1092,谢谢中文字母
1093,But what is a Neural Network?
1094,"Oh, what an easy way to explain toughest of concepts!"
1095,"13:54 The vector could have been depicted higher than the matrix to make it to grasp the idea much quicker.
Thank you so much for these awesome videos."
1096,Quote: “Any fool can make something complicated. It takes a genius to make it simple.”…..nailed.
1097,You are simply Amazing
1098,How on earth did you just explain to me Neural Networks
1099,WOW this stuff fascinates me but I just can't seem to understand it.
1100,"New to all these just went straight from above the head 
Would have to see it twice or thirce to understand"
1101,"Sigmoid Squisification function!? Lol, Nice one!"
1102,"honestly, this is the clearest explanation I’ve ever heard on the topic. impressive!"
1103,"Hi, Grant! I wonder the reason why not the neural network uses Hilbert's curve instead of snake-curve."
1104,"@3Blue1Brown Thank you sooo much for your amazing channel. I have learnt a lot from you. A quick correction: At 14:38, the last row of the bias matrix should be bk instead of bn."
1105,should it not be bk instead of bn  in the bias vector at 15:06!
1106,seems like there has to be a better and simpler way to do this- some genius will figure it out
1107,이해했다!
1108,"wait, is it like a function f(x) that gets changed in g(f(x) and then h(g(f(x) like layers?"
1109,das PERFEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEKT
1110,Thanks a lot sir....Can u make some more videos on machine learning subjects....IT WILL BE GREAT SIR.....
1111,Are the weights static or do  they keep changing?
1112,Please do more videos on neural networks..
1113,Wow!
1114,k=16 for this example?
1115,The aesthetic & production of this channel's content is so on point.
1116,does qr code and barcode used this tech?
1117,It would be great if you put up detailed course on artificial neural networks. I really enjoyed the way you teach... things should be taught like the way you do
1118,Absolutely Brilliant! Thanks for making this video
1119,Was this how consciousness was born billions of years ago?
1120,Alright. I'm starting to understand nn finally. Thanks! great video.
1121,you said i can run the program directly in my computer ....But how can i??????
1122,Awesome
1123,Im not sure if this is just me being stupid though I found this video really hard to follow
1124,"At 10:05 you say that adding the negative weights around to detect edges will increase the weighted sum, but surely as the activation value is between 0 and 1, it will decrease the weighted sum and thus affect which neurons are affected in the next layer?"
1125,Definitely a better explanation than my professor. Thank you !
1126,"Since school closed, I will go through these videos"
1127,"At 14:51, shouldn't the bias column be [b0, b1 ... bk] not [b0, b1 ... bn]? @3Blue1Brown"
1128,"Jesus Christ...this is unbelievable ....you explained it so freakin' good. You will be my very fist channel on youtube which I will support on Patreon, endlessly. World needs more more teachers like you ! I bow yo you and shake your hand in respect :)"
1129,"I dont really have words to describe the beauty that underlies these videos in visualizing any concept you explain. Heartful thanks as these videos will definitely make better teachers -> better students -> better innovation.
But i just have a question here: What is the idea behind to have a separate bias to each activation in any hidden layer? Why cant it be a constant?"
1130,"@14:38 , Shouldn't dimension of bias vector be (k+1) rather than (n+1) ?"
1131,"2:24 mentions ""aka multilayer perceptron"".  In Michael Nielsen's book he explains that the neurons used here are ""sigmoid neurons"" not ""perceptrons"".  A perceptron is binary, taking values only 0 or 1, whereas a sigmoid neuron can take any value between 0 and 1 as in this video.  Nielsen says ""somewhat confusingly, and for historical reasons, such multiple layer networks are sometimes called multilayer perceptrons despite being made up of sigmoid neurons, not perceptrons""."
1132,"There's new kind of optimizer that is several times faster than ADAM, if you want to check it out: https://github.com/YanaiEliyahu/AdasOptimizer"
1133,"Weights are, at the beginning, randomly generated, then tweaked a whole bunch of time automatically until it reaches a good value."
1134,Who are the 1.5K fools who disliked this video??? Brain damage.
1135,"14:50 You can also drop the bias and use a output of 1. Thus add ""1"" to your a list. a0 = 1 and (w0,0 -> w0,n) are the bias-es. Keeps your program and math much cleaner."
1136,"卧槽 So powerful video, 终于搞懂了为什么用bias 了。  Brown 真是聪明绝顶！"
1137,"Beautiful video. Though I need help!
9:45
1. Based on the weighted sum of the pixels, it decides whether or not to FIRE the that second layers neuron, in this case is the neuron value either 0 or 1 (ON/OFF)?, or does it any value like those in first layer? (In other words, Suppose, the weighted sum is 7 and say that neuron has bias of 6, that means, it will get fired.. In that case how is the 'a' value of the neuron determined?  My guess is, if the weighted sum falls below 6, then the neuron is FULLY OFF (ie, value 0), and if it increase from 6, it keeps increasing 'continuously'. Is that right?


2. (A VERY IMPORTANT DOUBT) : so in the example, the second neuron fill gets fired if the pixels in the area you showed gets lightened. BUT, in real world, THE POSITION OF THE pattern in the image can vary right?. ie, THE SAME PATTERN CAN BE ON DIFFERENT POSITION ON THE GRID right?,, In that case how will our second layer neuron, which is for that pattern will get fired??!


3. What is the benefit of using this method rather than using Normal classification?


(Hope you will answer at least my second question!)"
1138,"This video is most likely based on this: http://neuralnetworksanddeeplearning.com/chap1.html
If you want to basically read about this exact same example problem but with the specific equations and references this is where you can find it."
1139,Is it correct then to say that a neuron is a fonction ?
1140,Shouldn't the length of b vector be k instead of n at 14:49
1141,"How much more complex would it be to recognize mathematical expressions? Could this recognizing numbers be a building block to maths expression recognition? Can this sort of ML be composed at all? Sorry if I am wrong in my thoughts, I began studying ML recently."
1142,Machine Learning expressed so clearly. Fantastic job Grant!
1143,Why can't you collaborate with ben eater and work on building breadboard perception or stochastic gradient descent hardware circuit?
1144,"Hey, my eye is 3 blue 1 brown too.  Weird."
1145,한국어자막 중간에 없어져서 너무 끔찍하다ㅠㅠ
1146,Nice!
1147,Does bias go up as you move towards the center of the screen?  That's where the I would think that the bias would be higher because that's 'where the game is being played'.  Since most people start writing a number towards the top and finish at the bottom I'm guessing that the bias is lower there in order to correct for the trailing off effect that makes handwritten numbers so sloppy.
1148,Excelent!!
1149,"What tools or software do you think was used to make this video, cuz its just amazing and surely would take so many hours."
1150,Excellent work!! Thanks
1151,Great!
1152,I didn't understand a thing 🥴🥴
1153,this is the best video for deep learning intro i found online.
1154,"""It works but u don't know why""


Well I will leave it to that
*Achievement unlocked*: you just reached 1.8M subs"
1155,This is incredible... I am no where near being a mathematician...but I am desperately trying to understand AI at its lowest level possible so that I can try understand the complexity of AI. This is insanely well presented. Thank you.
1156,Excellent video to help visualize a neural network and how it works.....hats off to you!
1157,What to i say... Super-amazing... What a way of teaching.... Really appreciationless...priceless... Just keep it up... 💕
1158,Great Work ! Thanks.
1159,Superb! loved it simply!
1160,Thanks for talking about the RELU vs Sigmoid.
1161,I can watch this 100 times and find something new every single time
1162,"As a neuroscientist I can say, that if you look at the activation versus input of a pyramidal neuron, it looks almost exactly like ReLU, besides a little bumb at very little activations. So you its not only like ReLU is inspired by neurons, it is the way neurons do it. Obviously, this only holds true as long the neuron is far away from being saturated (or firing at its highest rate), but this is almost never the case."
1163,"Could someone help me with the following? If the matrix multiplication shown in the video represents the full transition of activations from one layer to the next, why is the for loop at 15:14 necessary? (Does it represent multiple pairs of layers?)"
1164,wait so it's basically a huge combination of AND gates and NOT gates?
1165,whoa!
1166,"help, im 13, i dont understand this video, and even the  comments are too advanced for me"
1167,"Thanks for such a wonderful video. 
But i have a preocupation : At the level of the fifteenth seconds of this video, why does the matrix ""b"" has ""n"" lines rather than ""k""?"
1168,"Невероятно
""It works but u don't know why""


Well I will leave it to that"
1169,"Who are the 1,500 people down voting this?  Mental.  A fantastic intro to the topic."
1170,Amazing explanation. Very clear.
1171,"from bilibili ,the video was so fantasitc"
1172,"I love this channel so much, I wish I could subscribe infinitely more times."
1173,Невероятно
1174,aight ima head out
1175,I appreciate the dark mode of your vids
1176,thank you so much for this amazings videos!!!
1177,❤️❤️❤️
1178,"What happens when Quantum computer doing this job? which means there won't be any ""1"" or ""0"" right?"
1179,Truly exceptional quality! Many thanks from a Belgian student trying to get a grasp on the underlaying mechanisms of AI.
1180,"At 15:59 I think there is a mistake:-
Biases vector should have k number of rows rather than n and matrix representing weights have some mistakes that need replacement of n and k at some places."
1181,"At 14:40 , Shouldn't the bias vector have k+1 elements? ( one for each a^(1)_i)"
1182,"Thanks Brother, This is one of the best video on neural network."
1183,"Nice sleep aid, jk"
1184,https://www.youtube.com/playlist?list=PLiAZPa2Fj6WLFcJd0B8yYuXMBJcd-GF6h
1185,"Wow! I learned more in 4 minutes from you than I did from the udacity tensorflow course from google(they focus more on how to use their frameworks and not on learning the ""why""). thank you so much! This is helping me grasp the fundamentals!"
1186,I want to make a aimbot for video games
1187,All you’re gonna find is human consciousness.
1188,Your subscribing argument was really convenient
1189,"Thank you for a vivid and detailed explanation of Neural Network like this.
Really appreciate it."
1190,I wish i had such a good teacher in school or college from which i eventually dropped out and self taught myself.  If i had such a good teacher i would have never even gone to college to waste time. Thankyou 3B1B !
1191,Just sweat to make money with math functions its the best Capitalism and enyojment !
1192,The background music is so distracting
1193,Read very informative articles on artificial intelligence here https://medium.com/ai-quest
1194,Never got so close to imagining what a neural network does. Thanks!
1195,good explanation
1196,"This is a great explanation and the ""All of this is just a function"" line is a nice little sanity check"
1197,that is very     interesting video
1198,at 0:50 you wrote 3 != 3
1199,I took a course and have a nanodegree in AI and I have to say your teaching and presentation style builds intuition in a way that is quick and all encompassing... far better than the intuition I left with that degree.  Sure I actually got into details but and did work but developing intuition is important and you do that extremely well.
1200,"I love this playlist. You clarified a difficult topic for me as a 32-year novice (highly skilled, but it's not my profession) programmer. Your episodes are constantly putting my neural-network based calculus engine (my brain) to work, and reigniting my love for math; in the same way PBS SpaceTime fuels another one of my primary interests, physics. Between the advantages of better understanding neural network (IMHO the ultimate data structure in computer science), and an improved understanding of physics... I need to (both logically and passionately) understand the math; my math education is incomplete, stopped short of Calculus and Linear Algebra. I used to be a HUGE math geek (so much so, I would sometimes stop raising my hand first because I felt self-conscious about doing so 12 times in an hour) before learning about computers; which were literally just becoming a more common consumer product at the time (1992). Computer's focused my love of math into something concrete. I still remember finding my mom's high school pre-algebra text book when I was in 2nd grade, and being able to read and understanding it (I hope we teach algebra sooner these days). Keep doing what you're doing and thank you! :)"
1201,"Thibault Neveu j'adore ta chaine mec. Il ya quelque annee de cela quand j'ai debuter ma carriere en informatique en tant que programmeur et ensuite data scientist trouver des formations etait si difficile surtout concernant des notions tels que l'IA et jusqu'a present il est toujours difficile d'en trouver voila pourquoi aujourd'hui en tant que Doctorant en AI Research a Mariland avec mon Directeur de These Dr Mihir SUBARESH. J'ai decider de creer une chaine youtube afin d'aider nos frere surtout dans la communaute francophone , nous avons tellement de retard dans ces notions la. je vous invite donc a suivre notre communaute youTube via le lien de cette formation complete en IA et computer Vision(COCO, YOLO, RESNET, OPENCV, Tensorflow, Keras, Pytorch) et d'autre technologies de devellopement(Mobile, et Data Science) https://www.youtube.com/watch?v=qJsronmbPVI&list=PLTSSiz1WVMAO-e8ndI7I_k8aRK_KWHdcz  ou tout simplement deja vous abonner a notre chaine youtube. youtube.com/c/TechCoDeFacilIA"
1202,What determines the numbers in the weights?
1203,"@3Blue1Brown You are such an inspiration!
I really appreciate the way you have created this wonderful video and  your explanation.
Just one small observation, at 14:49 the bias column vector b has a dimension of (n+1)*1. Shouldn't it be (k+1)*1?"
1204,"Honestly reminds me of the graphical pipeline process where an output corresponds to an input in the next section.

Currently playing around with OpenGL and you even use linear algebra to transform local coordinates to NDCs for fragments. In fact the sigmoid is essentially the equivalent (transforming the result in between 0 to 1)"
1205,谢谢你们的中文字幕。
1206,awesome vid thanks for watching this feel much more prepared to start my job as a senior ML data scientist now :)
1207,"Well, I got to say the difference between people and people is bigger than between people and dogs.The person who invented the neural network is really amazing. Thanks to these people for advancing our technology and the world"
1208,18:05 That's some premium vocal fry right there boi
1209,He is literally genius
1210,thanks...
1211,Wow this is crystal clear explanation
1212,"Honestly, I think recognizing symbols 1-9 is much easier than this. For example: Closed loops relative to the center of the image will easily recognize a 6 as closed loop at bottom. 9 is closed loop at top. 8 is two loops; top and bottom. You get the picture."
1213,Thanks man these videos are amazing. Really helped me wrap my head around calculus too
1214,"You just need to find those few lucky lottery winners, and get them to run these brute force cracking machines. With their lucky charm, they could probably get it right in less than 37 ages of the universe."
1215,"I have a question, maybe someone can help me. How can i easily create such beautiful images of these structures on my own? I'm writing on my master's thesis and look for ways to create my own figures and graphs of neural networks and other things connected to these. I don't know if this is the right place to ask, but i would be glad if anyone has any suggestions.


Thanks for this great great video, by the way! You are Awesome!


J"
1216,vsauce did this with people didnt know it was that similar
1217,"When your brain is smarter than you
In schools everyone taught us to practice maths but this man teaches us to imagine maths"
1218,"I recommend watching Andrew Glassner's ""deep learning crash course"" talk instead, much clearer with much less ""magic"" hand waving than this one here.

The failure of this presentation (like any bad teaching) is that it raises questions without answering them. When Glassner raises a question, he delivers a satisfactory answer within the next 5 minutes (or if there is none, or it is too complicated, he outright tells you, without the ""endless suspense"")."
1219,"Professor: Has taken the red pill and is deeply exploring the rabbit hole.

Everyone else: What pill is better? I am not sick, so why should I even take it? Will I be rich? Can I use one of my wishes to wish for infinite wishes? I think I’ll pass..."
1220,"Great video, this video really made some things click for me."
1221,"Around 2 years ago I was a sophomore statistics student and had no idea what deep learning is, until I met this video and 3b1b channel. His clear explanation of neural network and animations blew my mind. Since then I started my journey in machine learning. For a random reason I clicked onto this video again, and realized how long my journey in this field have been. This video really changed my life and I am really grateful about it."
1222,"wait I didn't understand understand this I swear I tried to so much, but still I didn't get it"
1223,Amazing video.....made grasping the concept so much easier. Awesome work!!!.....please keep contributing :)
1224,Too technical for me.. not good in Maths.. I will rather play CS GO.
1225,Kudos for such Intuitive Video..However the ones living under the Rock..specially in Himalayas known the whole Universe...
1226,"In schools everyone taught us to practice maths but this man teaches us to imagine maths
When your brain is smarter than you
""It works but u don't know why""


Well I will leave it to that"
1227,I can't believe it is this simple.  I have been living under a rock.
1228,"It's not actually learning, it's percepting based on known data."
1229,This was very helpful!
1230,"Love the video, as a high school student who doesn't really fancy math as a subject you light a spark in me with these videos. The production value is great, but I have one problem. As I am red-green colorblind, i struggle with distinguishing the red and green pixels in the weight part. :/"
1231,"Don't try imagining Setting the weights and biases by hand...

IMAGINE BUILDING THAT WHOLE THING BY HAND


I tried it.......
its impossible"
1232,"I see number 3 on first slide at top position, because I know context. If you show me this image without context - I will not give you 100% answer."
1233,This video is absolutely fantastic. Thank you.
1234,"About the idea of line segments and loops, i wonder what would happen if we construct the network in that way  I mean not by feed back and minimization of cost but by assigning the weights by hand in such a way that segmenta and loops become recognized in the two hidden layers. How well does it do? Also if i understand correctly, given the same set of training data and the same initial set of nodes (neurons?) we can potentially have a better weight distribution than what we find by the described method.
Am i right about that? I got that from the repeated mention of ""LOCAL"" minimum. If we are never looking for global minimum that means that there is probably a better minimum left undiscovered. In the same line of thought, do we get a different weight distribution  when we use back propagation on the same network with the same training data but with different initial weight distribution (random or not)?
What would happen if we start with the weight distribution constructed by hand to represent an idea like segments and loops and then apply training?"
1235,I'm very much thankful for this video but where are the promised videos about more modern versions of neutral networks and the promised tools.
1236,My brain has popped
1237,"Squishification is now added to my vocabulary.
""It works but u don't know why""


Well I will leave it to that"
1238,Neuron is a thing that holds a number between 0 and 1. 15 min later its a function that includes couple of functions within!
1239,유익하고 흥미로와 '쬬아욧' 클릭! ~♥
1240,Wow !!!!
1241,"this is the least confusing neural network video i've watched, but i still don't understand.
I can't wait for neural networking to be able to recognize my doctor's prescription."
1242,"Anybody else sometimes feel the need to clap at the end of the video?
Squishification is now added to my vocabulary."
1243,"Great video. What exactly determines the number of activation ""nodes"" or functions in each subsequent layer?"
1244,"What i should learn from this video: How neural networks work
What my mind discovered: You can make 100 30x30 images for each of the digits, each one different and then make another image and write a digit and the ""neural network"" will compare it to the 1000 images of digits and make an average that shows what digit is the most similar and guess."
